date,model_id,prob_up,best_C,training_rows,training_last_date,target,same_session_return
2025-01-02,baseline,0.497938522168787,0.01,8291,2024-12-31,0,-0.0266134568583756
2025-01-03,baseline,0.5588657040744608,0.01,8292,2025-01-02,0,-0.0156720441395579
2025-01-06,baseline,0.521934809243072,0.01,8293,2025-01-03,0,-0.0014034246426046
2025-01-07,baseline,0.4879443315720373,0.01,8294,2025-01-06,1,0.0070849845786755
2025-01-08,baseline,0.4784831860081827,0.01,8295,2025-01-07,1,0.0001622469844975
2025-01-09,baseline,0.4589589763973258,0.01,8296,2025-01-08,0,-0.0058123911821305
2025-01-10,baseline,0.5217165115783368,0.01,8297,2025-01-09,0,-0.0133490357611167
2025-01-13,baseline,0.5203170394936683,0.01,8298,2025-01-10,0,-0.0024519302994074
2025-01-14,baseline,0.5046224837016954,0.01,8299,2025-01-13,1,0.0253689387503934
2025-01-15,baseline,0.5129711004405181,0.01,8300,2025-01-14,0,-0.0042651206131554
2025-01-16,baseline,0.4666647141144811,0.01,8301,2025-01-15,1,0.0027625276678844
2025-01-17,baseline,0.5069207501029421,0.01,8302,2025-01-16,1,0.0017889192690305
2025-01-20,baseline,0.50561421183992,0.01,8303,2025-01-17,1,0.0007887542217785
2025-01-21,baseline,0.4944252929230446,0.01,8304,2025-01-20,0,-0.0005409357356017
2025-01-22,baseline,0.4861677292112588,0.01,8305,2025-01-21,0,-0.0089430686206815
2025-01-23,baseline,0.4672876793565305,0.01,8306,2025-01-22,1,0.0051468373400249
2025-01-24,baseline,0.5057269097709781,0.01,8307,2025-01-23,1,0.0069538264930202
2025-01-27,baseline,0.5226796608737498,0.01,8308,2025-01-24,0,-0.0006225738833791
2025-02-05,baseline,0.5030178266450169,0.01,8309,2025-01-27,0,-0.0064951065972108
2025-02-06,baseline,0.4850669056176618,0.01,8310,2025-02-05,1,0.0127484604370724
2025-02-07,baseline,0.5500466530861511,0.01,8311,2025-02-06,1,0.0100921557398676
2025-02-10,baseline,0.5794843686242227,0.01,8312,2025-02-07,1,0.0056007460800377
2025-02-11,baseline,0.5902801934661182,0.01,8313,2025-02-10,0,-0.00123804621678
2025-02-12,baseline,0.5522714445150838,0.01,8314,2025-02-11,1,0.0085375266307963
2025-02-13,baseline,0.5292852314853163,0.01,8315,2025-02-12,0,-0.0041543337063727
2025-02-14,baseline,0.570945371929921,0.01,8316,2025-02-13,1,0.0042733901418252
2025-02-17,baseline,0.5765466365738132,0.01,8317,2025-02-14,1,0.0027208697221521
2025-02-18,baseline,0.578419119298105,0.01,8318,2025-02-17,0,-0.0093386732939392
2025-02-19,baseline,0.5674615939904196,0.01,8319,2025-02-18,1,0.0081359823203011
2025-02-20,baseline,0.5224775965147672,0.01,8320,2025-02-19,0,-0.0002255680151715
2025-02-21,baseline,0.5608865866356906,0.01,8321,2025-02-20,1,0.0084547402801076
2025-02-24,baseline,0.5817731671715555,0.01,8322,2025-02-21,0,-0.0018007684265072
2025-02-25,baseline,0.5828029324954772,0.01,8323,2025-02-24,0,-0.0080011194689163
2025-02-26,baseline,0.5638261765924197,0.01,8324,2025-02-25,1,0.0102132670260965
2025-02-27,baseline,0.5208729948076825,0.01,8325,2025-02-26,1,0.0023217464929734
2025-02-28,baseline,0.5708090767719008,0.01,8326,2025-02-27,0,-0.0198240173881115
2025-03-03,baseline,0.5728809900662978,0.01,8327,2025-02-28,0,-0.0011960623891676
2025-03-04,baseline,0.5169928652882704,0.01,8328,2025-03-03,1,0.0021963113425838
2025-03-05,baseline,0.4808516002527098,0.01,8329,2025-03-04,1,0.0053411186417224
2025-03-06,baseline,0.4603386312979688,0.01,8330,2025-03-05,1,0.0117095780476454
2025-03-07,baseline,0.5349438639865282,0.01,8331,2025-03-06,0,-0.0025293558483072
2025-03-10,baseline,0.5355237078533718,0.01,8332,2025-03-07,0,-0.0018926354154991
2025-03-11,baseline,0.5197944244473183,0.01,8333,2025-03-10,1,0.0040595182110907
2025-03-12,baseline,0.4994638558591086,0.01,8334,2025-03-11,0,-0.0023385805431519
2025-03-13,baseline,0.460079354774341,0.01,8335,2025-03-12,0,-0.0039131961455833
2025-03-14,baseline,0.5278726757554404,0.01,8336,2025-03-13,1,0.0181119107853
2025-03-17,baseline,0.544827321589433,0.01,8337,2025-03-14,1,0.0019204213873005
2025-03-18,baseline,0.5225993296870667,0.01,8338,2025-03-17,1,0.0010595047647068
2025-03-19,baseline,0.496291922428198,0.01,8339,2025-03-18,0,-0.0009709136997672
2025-03-20,baseline,0.4612240379102943,0.01,8340,2025-03-19,0,-0.0051018129953955
2025-03-21,baseline,0.5133040802297638,0.01,8341,2025-03-20,0,-0.0129415291755696
2025-03-24,baseline,0.5371326815977537,0.01,8342,2025-03-21,1,0.0015445055041396
2025-03-25,baseline,0.5147604851629252,0.01,8343,2025-03-24,0,-1.5430138859295894e-05
2025-03-26,baseline,0.4847573554274414,0.01,8344,2025-03-25,0,-0.0003795279254213
2025-03-27,baseline,0.4523526874845993,0.01,8345,2025-03-26,1,0.0014996896426124
2025-03-28,baseline,0.5074724879213522,0.01,8346,2025-03-27,0,-0.0066519471365534
2025-03-31,baseline,0.5256575537806984,0.01,8347,2025-03-28,0,-0.0046432630612474
2025-04-01,baseline,0.5343647785827517,0.01,8348,2025-03-31,1,0.0038039467033761
2025-04-02,baseline,0.4970451210429042,0.01,8349,2025-04-01,1,0.0005053106899193
2025-04-03,baseline,0.4597899328341414,0.01,8350,2025-04-02,0,-0.0024234902139531
2025-04-07,baseline,0.5251313455651585,0.01,8351,2025-04-03,0,-0.073438483690045
2025-04-08,baseline,0.6461177841063684,0.01,8352,2025-04-07,1,0.0158152100901123
2025-04-09,baseline,0.4486538469285985,0.01,8353,2025-04-08,1,0.013117265062474
2025-04-10,baseline,0.4356531978539403,0.01,8354,2025-04-09,1,0.0115563839701771
2025-04-11,baseline,0.4843907024430963,0.01,8355,2025-04-10,1,0.0045256322204911
2025-04-14,baseline,0.5060391819900998,0.01,8356,2025-04-11,1,0.0075908822945396
2025-04-15,baseline,0.5044485278239291,0.01,8357,2025-04-14,1,0.0014876756462531
2025-04-16,baseline,0.4729014112354709,0.01,8358,2025-04-15,1,0.0025528956177229
2025-04-17,baseline,0.4444434999878485,0.01,8359,2025-04-16,1,0.0013238689574248
2025-04-18,baseline,0.501449990448542,0.01,8360,2025-04-17,0,-0.0011008001911996
2025-04-21,baseline,0.4948868899658376,0.01,8361,2025-04-18,1,0.0044874005487178
2025-04-22,baseline,0.4882324786117726,0.01,8362,2025-04-21,1,0.0025286850655368
2025-04-23,baseline,0.4690328182061175,0.01,8363,2025-04-22,0,-0.001030985008896
2025-04-24,baseline,0.4407133572690804,0.01,8364,2025-04-23,1,0.0002830399031656
2025-04-25,baseline,0.4971938970209025,0.01,8365,2025-04-24,0,-0.0006757068233045
2025-04-28,baseline,0.4940574701712135,0.01,8366,2025-04-25,0,-0.002016655235413
2025-04-29,baseline,0.5052974871528894,0.01,8367,2025-04-28,0,-0.0005352122527113
