date,model_id,prob_up,best_C,training_rows,training_last_date,target,same_session_return
2025-01-02,liuyao_hash,0.5060671224758578,0.01,8291,2024-12-31,0,-0.0266134568583756
2025-01-03,liuyao_hash,0.537081477416676,0.01,8292,2025-01-02,0,-0.0156720441395579
2025-01-06,liuyao_hash,0.4913643802025307,0.01,8293,2025-01-03,0,-0.0014034246426046
2025-01-07,liuyao_hash,0.4748560241166571,0.01,8294,2025-01-06,1,0.0070849845786755
2025-01-08,liuyao_hash,0.459239515482154,0.01,8295,2025-01-07,1,0.0001622469844975
2025-01-09,liuyao_hash,0.4997092787212954,0.01,8296,2025-01-08,0,-0.0058123911821305
2025-01-10,liuyao_hash,0.5577219517934884,0.01,8297,2025-01-09,0,-0.0133490357611167
2025-01-13,liuyao_hash,0.5067004862006049,0.01,8298,2025-01-10,0,-0.0024519302994074
2025-01-14,liuyao_hash,0.5075431113980223,0.01,8299,2025-01-13,1,0.0253689387503934
2025-01-15,liuyao_hash,0.5420471590410078,0.01,8300,2025-01-14,0,-0.0042651206131554
2025-01-16,liuyao_hash,0.4477453313871626,0.01,8301,2025-01-15,1,0.0027625276678844
2025-01-17,liuyao_hash,0.5331614976607845,0.01,8302,2025-01-16,1,0.0017889192690305
2025-01-20,liuyao_hash,0.483107423865595,0.01,8303,2025-01-17,1,0.0007887542217785
2025-01-21,liuyao_hash,0.5364061585730433,0.01,8304,2025-01-20,0,-0.0005409357356017
2025-01-22,liuyao_hash,0.5060955057009983,0.01,8305,2025-01-21,0,-0.0089430686206815
2025-01-23,liuyao_hash,0.4893381086483301,0.01,8306,2025-01-22,1,0.0051468373400249
2025-01-24,liuyao_hash,0.4909653743123858,0.01,8307,2025-01-23,1,0.0069538264930202
2025-01-27,liuyao_hash,0.5527526968264357,0.01,8308,2025-01-24,0,-0.0006225738833791
2025-02-05,liuyao_hash,0.5050902887822227,0.01,8309,2025-01-27,0,-0.0064951065972108
2025-02-06,liuyao_hash,0.5068203461442284,0.01,8310,2025-02-05,1,0.0127484604370724
2025-02-07,liuyao_hash,0.5846790761010002,0.01,8311,2025-02-06,1,0.0100921557398676
2025-02-10,liuyao_hash,0.5685795603843651,0.01,8312,2025-02-07,1,0.0056007460800377
2025-02-11,liuyao_hash,0.5932451333233282,0.01,8313,2025-02-10,0,-0.00123804621678
2025-02-12,liuyao_hash,0.5328196036720027,0.01,8314,2025-02-11,1,0.0085375266307963
2025-02-13,liuyao_hash,0.5634546106448393,0.01,8315,2025-02-12,0,-0.0041543337063727
2025-02-14,liuyao_hash,0.5781198578448129,0.01,8316,2025-02-13,1,0.0042733901418252
2025-02-17,liuyao_hash,0.5791123578727603,0.01,8317,2025-02-14,1,0.0027208697221521
2025-02-18,liuyao_hash,0.5830010313208028,0.01,8318,2025-02-17,0,-0.0093386732939392
2025-02-19,liuyao_hash,0.576719715565427,0.01,8319,2025-02-18,1,0.0081359823203011
2025-02-20,liuyao_hash,0.5143938783147435,0.01,8320,2025-02-19,0,-0.0002255680151715
2025-02-21,liuyao_hash,0.5425941877503546,0.01,8321,2025-02-20,1,0.0084547402801076
2025-02-24,liuyao_hash,0.5722621559208718,0.01,8322,2025-02-21,0,-0.0018007684265072
2025-02-25,liuyao_hash,0.6057707606650176,0.01,8323,2025-02-24,0,-0.0080011194689163
2025-02-26,liuyao_hash,0.5323126641300927,0.01,8324,2025-02-25,1,0.0102132670260965
2025-02-27,liuyao_hash,0.4832598098007372,0.01,8325,2025-02-26,1,0.0023217464929734
2025-02-28,liuyao_hash,0.5728538343435144,0.01,8326,2025-02-27,0,-0.0198240173881115
2025-03-03,liuyao_hash,0.5553702088646969,0.01,8327,2025-02-28,0,-0.0011960623891676
2025-03-04,liuyao_hash,0.4764018166173591,0.01,8328,2025-03-03,1,0.0021963113425838
