date,model_id,prob_up,best_C,training_rows,training_last_date,target,same_session_return
2025-01-02,cycle,0.552614195124237,0.01,8291,2024-12-31,0,-0.0266134568583756
2025-01-03,cycle,0.5940062973251842,0.01,8292,2025-01-02,0,-0.0156720441395579
2025-01-06,cycle,0.4949255006695655,0.01,8293,2025-01-03,0,-0.0014034246426046
2025-01-07,cycle,0.4411558819714601,0.01,8294,2025-01-06,1,0.0070849845786755
2025-01-08,cycle,0.4623810038974067,0.01,8295,2025-01-07,1,0.0001622469844975
2025-01-09,cycle,0.4196774546488016,0.01,8296,2025-01-08,0,-0.0058123911821305
2025-01-10,cycle,0.4973833384556105,0.01,8297,2025-01-09,0,-0.0133490357611167
2025-01-13,cycle,0.4836314712337142,0.01,8298,2025-01-10,0,-0.0024519302994074
2025-01-14,cycle,0.4644361300119193,0.01,8299,2025-01-13,1,0.0253689387503934
2025-01-15,cycle,0.4740652773466001,0.01,8300,2025-01-14,0,-0.0042651206131554
2025-01-16,cycle,0.4120705197489357,0.01,8301,2025-01-15,1,0.0027625276678844
2025-01-17,cycle,0.4939092968852689,0.01,8302,2025-01-16,1,0.0017889192690305
2025-01-20,cycle,0.5010107816562486,0.01,8303,2025-01-17,1,0.0007887542217785
2025-01-21,cycle,0.4829791499108743,0.01,8304,2025-01-20,0,-0.0005409357356017
2025-01-22,cycle,0.4727248807209108,0.01,8305,2025-01-21,0,-0.0089430686206815
2025-01-23,cycle,0.4545287427938494,0.01,8306,2025-01-22,1,0.0051468373400249
2025-01-24,cycle,0.46734845479198,0.01,8307,2025-01-23,1,0.0069538264930202
2025-01-27,cycle,0.4924249379801825,0.01,8308,2025-01-24,0,-0.0006225738833791
2025-02-05,cycle,0.4978038638854146,0.01,8309,2025-01-27,0,-0.0064951065972108
2025-02-06,cycle,0.4743849589632101,0.01,8310,2025-02-05,1,0.0127484604370724
2025-02-07,cycle,0.5603822096911355,0.01,8311,2025-02-06,1,0.0100921557398676
2025-02-10,cycle,0.5811721157319936,0.01,8312,2025-02-07,1,0.0056007460800377
2025-02-11,cycle,0.5971029617191991,0.01,8313,2025-02-10,0,-0.00123804621678
2025-02-12,cycle,0.5713298322020882,0.01,8314,2025-02-11,1,0.0085375266307963
2025-02-13,cycle,0.5355701515435962,0.01,8315,2025-02-12,0,-0.0041543337063727
2025-02-14,cycle,0.5646480947607152,0.01,8316,2025-02-13,1,0.0042733901418252
2025-02-17,cycle,0.5975863438444166,0.01,8317,2025-02-14,1,0.0027208697221521
2025-02-18,cycle,0.5930778314830991,0.01,8318,2025-02-17,0,-0.0093386732939392
2025-02-19,cycle,0.5690271720977613,0.01,8319,2025-02-18,1,0.0081359823203011
2025-02-20,cycle,0.5221473916203458,0.01,8320,2025-02-19,0,-0.0002255680151715
2025-02-21,cycle,0.5698828400924193,0.01,8321,2025-02-20,1,0.0084547402801076
2025-02-24,cycle,0.567960758103059,0.01,8322,2025-02-21,0,-0.0018007684265072
2025-02-25,cycle,0.5658702773295751,0.01,8323,2025-02-24,0,-0.0080011194689163
