date,model_id,prob_up,best_C,training_rows,training_last_date,target,same_session_return
2025-01-02,qimen,0.507587987446261,0.01,8291,2024-12-31,0,-0.0266134568583756
2025-01-03,qimen,0.5869006157735808,0.01,8292,2025-01-02,0,-0.0156720441395579
2025-01-06,qimen,0.520038434792621,0.01,8293,2025-01-03,0,-0.0014034246426046
2025-01-07,qimen,0.4711420308515009,0.01,8294,2025-01-06,1,0.0070849845786755
2025-01-08,qimen,0.4856732880583748,0.01,8295,2025-01-07,1,0.0001622469844975
2025-01-09,qimen,0.4760194942989481,0.01,8296,2025-01-08,0,-0.0058123911821305
2025-01-10,qimen,0.5211647049917648,0.01,8297,2025-01-09,0,-0.0133490357611167
2025-01-13,qimen,0.5259972319448246,0.01,8298,2025-01-10,0,-0.0024519302994074
2025-01-14,qimen,0.4826269144123235,0.01,8299,2025-01-13,1,0.0253689387503934
2025-01-15,qimen,0.4766224632464118,0.01,8300,2025-01-14,0,-0.0042651206131554
2025-01-16,qimen,0.4977410666010176,0.01,8301,2025-01-15,1,0.0027625276678844
2025-01-17,qimen,0.4892022158782825,0.01,8302,2025-01-16,1,0.0017889192690305
2025-01-20,qimen,0.5105476886362736,0.01,8303,2025-01-17,1,0.0007887542217785
2025-01-21,qimen,0.4863766265984576,0.01,8304,2025-01-20,0,-0.0005409357356017
2025-01-22,qimen,0.4667349873356018,0.01,8305,2025-01-21,0,-0.0089430686206815
2025-01-23,qimen,0.4803701405200723,0.01,8306,2025-01-22,1,0.0051468373400249
2025-01-24,qimen,0.4802286966938386,0.01,8307,2025-01-23,1,0.0069538264930202
2025-01-27,qimen,0.509601065404566,0.01,8308,2025-01-24,0,-0.0006225738833791
2025-02-05,qimen,0.4722742603140925,0.01,8309,2025-01-27,0,-0.0064951065972108
2025-02-06,qimen,0.4985090825444476,0.01,8310,2025-02-05,1,0.0127484604370724
2025-02-07,qimen,0.5593693753560229,0.01,8311,2025-02-06,1,0.0100921557398676
2025-02-10,qimen,0.618524321397466,0.01,8312,2025-02-07,1,0.0056007460800377
2025-02-11,qimen,0.5991544351442121,0.01,8313,2025-02-10,0,-0.00123804621678
2025-02-12,qimen,0.5396696425133465,0.01,8314,2025-02-11,1,0.0085375266307963
2025-02-13,qimen,0.5641004630257551,0.01,8315,2025-02-12,0,-0.0041543337063727
2025-02-14,qimen,0.5826257568944181,0.01,8316,2025-02-13,1,0.0042733901418252
2025-02-17,qimen,0.5812173366562997,0.01,8317,2025-02-14,1,0.0027208697221521
2025-02-18,qimen,0.6073722014135009,0.01,8318,2025-02-17,0,-0.0093386732939392
2025-02-19,qimen,0.5418456065768522,0.01,8319,2025-02-18,1,0.0081359823203011
2025-02-20,qimen,0.5277063928494982,0.01,8320,2025-02-19,0,-0.0002255680151715
2025-02-21,qimen,0.5593841307778951,0.01,8321,2025-02-20,1,0.0084547402801076
2025-02-24,qimen,0.6192146363763446,0.01,8322,2025-02-21,0,-0.0018007684265072
2025-02-25,qimen,0.5974498537016987,0.01,8323,2025-02-24,0,-0.0080011194689163
2025-02-26,qimen,0.5517118647054915,0.01,8324,2025-02-25,1,0.0102132670260965
2025-02-27,qimen,0.549615148422883,0.01,8325,2025-02-26,1,0.0023217464929734
2025-02-28,qimen,0.5823312750813711,0.01,8326,2025-02-27,0,-0.0198240173881115
2025-03-03,qimen,0.5524274372927481,0.01,8327,2025-02-28,0,-0.0011960623891676
2025-03-04,qimen,0.5250605779269587,0.01,8328,2025-03-03,1,0.0021963113425838
2025-03-05,qimen,0.463196894103382,0.01,8329,2025-03-04,1,0.0053411186417224
2025-03-06,qimen,0.4856885165003382,0.01,8330,2025-03-05,1,0.0117095780476454
2025-03-07,qimen,0.5082905932007884,0.01,8331,2025-03-06,0,-0.0025293558483072
2025-03-10,qimen,0.5540823692486295,0.01,8332,2025-03-07,0,-0.0018926354154991
2025-03-11,qimen,0.4935331566039305,0.01,8333,2025-03-10,1,0.0040595182110907
2025-03-12,qimen,0.4928693362555327,0.01,8334,2025-03-11,0,-0.0023385805431519
2025-03-13,qimen,0.4476089322240283,0.01,8335,2025-03-12,0,-0.0039131961455833
2025-03-14,qimen,0.5497811274996127,0.01,8336,2025-03-13,1,0.0181119107853
2025-03-17,qimen,0.5578845395213492,0.01,8337,2025-03-14,1,0.0019204213873005
2025-03-18,qimen,0.5227394516482606,0.01,8338,2025-03-17,1,0.0010595047647068
2025-03-19,qimen,0.4998733456762474,0.01,8339,2025-03-18,0,-0.0009709136997672
2025-03-20,qimen,0.4540349248232677,0.01,8340,2025-03-19,0,-0.0051018129953955
2025-03-21,qimen,0.5197382546922635,0.01,8341,2025-03-20,0,-0.0129415291755696
2025-03-24,qimen,0.5510610715874458,0.01,8342,2025-03-21,1,0.0015445055041396
2025-03-25,qimen,0.4907727062288575,0.01,8343,2025-03-24,0,-1.5430138859295894e-05
2025-03-26,qimen,0.4599454949070465,0.01,8344,2025-03-25,0,-0.0003795279254213
2025-03-27,qimen,0.455284078330869,0.01,8345,2025-03-26,1,0.0014996896426124
2025-03-28,qimen,0.4901699016370439,0.01,8346,2025-03-27,0,-0.0066519471365534
2025-03-31,qimen,0.5701078213441282,0.01,8347,2025-03-28,0,-0.0046432630612474
2025-04-01,qimen,0.5603320412122083,0.01,8348,2025-03-31,1,0.0038039467033761
2025-04-02,qimen,0.5004986179457467,0.01,8349,2025-04-01,1,0.0005053106899193
2025-04-03,qimen,0.5046220206131143,0.01,8350,2025-04-02,0,-0.0024234902139531
2025-04-07,qimen,0.5473081940785507,0.01,8351,2025-04-03,0,-0.073438483690045
2025-04-08,qimen,0.6458623114580945,0.01,8352,2025-04-07,1,0.0158152100901123
2025-04-09,qimen,0.438469078237661,0.01,8353,2025-04-08,1,0.013117265062474
2025-04-10,qimen,0.4642386842470105,0.01,8354,2025-04-09,1,0.0115563839701771
2025-04-11,qimen,0.4619926564848313,0.01,8355,2025-04-10,1,0.0045256322204911
2025-04-14,qimen,0.5261727266135341,0.01,8356,2025-04-11,1,0.0075908822945396
2025-04-15,qimen,0.4710699239346887,0.01,8357,2025-04-14,1,0.0014876756462531
2025-04-16,qimen,0.4738043398727444,0.01,8358,2025-04-15,1,0.0025528956177229
2025-04-17,qimen,0.4391664033379623,0.01,8359,2025-04-16,1,0.0013238689574248
2025-04-18,qimen,0.5364064694727417,0.01,8360,2025-04-17,0,-0.0011008001911996
2025-04-21,qimen,0.5283118690057975,0.01,8361,2025-04-18,1,0.0044874005487178
2025-04-22,qimen,0.4776536203497145,0.01,8362,2025-04-21,1,0.0025286850655368
