branch,market_regime_v1,n,R1_log_loss,R3_log_loss,R3_logloss_improvement_vs_R1,R1_brier_score,R3_brier_score,R3_brier_improvement_vs_R1
cycle,down|high,97,0.6847386431242212,0.6864982153871763,-0.0017595722629550892,0.24587161622979134,0.2467672192137632,-0.0008956029839718715
cycle,down|mid,51,0.6986992443930449,0.6991375069716373,-0.0004382625785924743,0.2527728407387136,0.25298699881395886,-0.0002141580752452743
cycle,up|high,36,0.6996499726122127,0.7025523615021148,-0.002902388889902019,0.25322030193632084,0.25466451436558857,-0.0014442124292677327
cycle,up|low,107,0.682201904996786,0.6679804543362708,0.014221450660515167,0.24450595964137986,0.23749541135642763,0.007010548284952234
cycle,up|mid,97,0.7140159272930956,0.7201082137795274,-0.006092286486431786,0.26035071652867686,0.26319405694067005,-0.0028433404119931893
ziping,down|high,97,0.6847386431242212,0.6828647443606791,0.0018738987635420479,0.24587161622979134,0.24494018542271861,0.0009314308070727251
ziping,down|mid,51,0.6986992443930449,0.6903019255504513,0.008397318842593537,0.2527728407387136,0.24857118667677,0.004201654061943588
ziping,up|high,36,0.6996499726122127,0.7017367624148392,-0.002086789802626443,0.25322030193632084,0.25430053127427343,-0.0010802293379525985
ziping,up|low,107,0.682201904996786,0.6790436245616965,0.0031582804350894778,0.24450595964137986,0.24296938896237585,0.0015365706790040068
ziping,up|mid,97,0.7140159272930956,0.7222630002052468,-0.00824707291215121,0.26035071652867686,0.26436211699436235,-0.0040114004656854885
qimen,down|high,97,0.6847386431242212,0.688684086758783,-0.0039454436345618404,0.24587161622979134,0.24787132960135513,-0.001999713371563794
qimen,down|mid,51,0.6986992443930449,0.6934833500598097,0.005215894333235216,0.2527728407387136,0.2501786778388096,0.0025941628999039956
qimen,up|high,36,0.6996499726122127,0.7079614625638116,-0.008311489951598916,0.25322030193632084,0.2573142547040239,-0.00409395276770308
qimen,up|low,107,0.682201904996786,0.6821695148492197,3.2390147566285776e-05,0.24450595964137986,0.2444660587930273,3.9900848352564244e-05
qimen,up|mid,97,0.7140159272930956,0.7134395214430034,0.0005764058500922209,0.26035071652867686,0.26000597013005206,0.0003447463986248067
meihua,down|high,97,0.6847386431242212,0.6874247543876506,-0.002686111263429436,0.24587161622979134,0.24725552740627177,-0.001383911176480429
meihua,down|mid,51,0.6986992443930449,0.6905093230282271,0.008189921364817776,0.2527728407387136,0.24870388049143424,0.004068960247279346
meihua,up|high,36,0.6996499726122127,0.7182421679243736,-0.01859219531216083,0.25322030193632084,0.2623008687890653,-0.009080566852744443
meihua,up|low,107,0.682201904996786,0.6869428732993447,-0.004740968302558657,0.24450595964137986,0.24687354741401343,-0.0023675877726335726
meihua,up|mid,97,0.7140159272930956,0.7267723924850279,-0.012756465191932298,0.26035071652867686,0.2665661680553501,-0.0062154515266732435
