model_id,n,log_loss,brier_score,roc_auc,accuracy
liuyao_hash,393,0.6906546484952147,0.24875975870958641,0.5043727938464782,0.5139949109414759
ziping,393,0.6917679819193334,0.24930195552068374,0.504451820241294,0.5165394402035624
rolling_hedge_all_20,393,0.6921808708033875,0.2495105828890783,0.49525841631104794,0.549618320610687
rolling_hedge_all_120,393,0.6921851904629585,0.2495128133597832,0.4952057320478373,0.549618320610687
rolling_hedge_all_60,393,0.6921889518619068,0.2495147565645341,0.49494231073178446,0.5521628498727735
qimen,393,0.6923250840010613,0.2495715204247165,0.5015278436331068,0.5292620865139949
cycle,393,0.6923334220078731,0.24958004165485312,0.5052947684526632,0.539440203562341
rolling_hedge_traditional_60,393,0.6926506676105602,0.24974284115603745,0.49351983562509877,0.544529262086514
rolling_hedge_traditional_20,393,0.6926515144832176,0.2497431834248902,0.4935461777567041,0.544529262086514
rolling_hedge_traditional_120,393,0.6926549313574916,0.24974488681166215,0.49359886201991465,0.544529262086514
baseline,393,0.6929361049902361,0.24989108272893384,0.483983983983984,0.544529262086514
meihua,393,0.6975814834145544,0.25219247000919554,0.4743164216848428,0.5012722646310432
