year,model_id,n,log_loss,brier_score,roc_auc,accuracy
2025,baseline,243,0.6952526457754585,0.2510480923987532,0.46167681239623687,0.5349794238683128
2025,rolling_hedge_all_120,243,0.6937775200768154,0.2503095776065002,0.47897066961815166,0.5390946502057613
2025,rolling_hedge_all_20,243,0.6937634972030329,0.25030245211935537,0.4793165467625899,0.5390946502057613
2025,rolling_hedge_all_60,243,0.6937757431215479,0.2503087647362254,0.4790398450470393,0.5432098765432098
2025,rolling_hedge_traditional_120,243,0.6940319498186428,0.25043441162519786,0.4809767570558938,0.5349794238683128
2025,rolling_hedge_traditional_20,243,0.694042881243715,0.2504397772276437,0.4807692307692308,0.5349794238683128
2025,rolling_hedge_traditional_60,243,0.6940324360925194,0.25043471574747495,0.48083840619811835,0.5349794238683128
2026,baseline,150,0.6891833089181755,0.2480167270638264,0.5166336989750044,0.56
2026,rolling_hedge_all_120,150,0.6896056164885102,0.24822205528010172,0.5213091170652759,0.5666666666666667
2026,rolling_hedge_all_20,150,0.6896170160359626,0.24822775473602954,0.5216687646106815,0.5666666666666667
2026,rolling_hedge_all_60,150,0.6896183500212879,0.24822846332639426,0.5213091170652759,0.5666666666666667
2026,rolling_hedge_traditional_120,150,0.6904241614504268,0.24862785661373438,0.5146556374752742,0.56
2026,rolling_hedge_traditional_20,150,0.6903975003312117,0.24861470146442954,0.5146556374752742,0.56
2026,rolling_hedge_traditional_60,150,0.690412202669786,0.24862200431790868,0.514835461247977,0.56
